first_name,last_name,dob,salary,manager,department
Medge,Barnes,"Fri, 13 Jul 1990 04:19:50 -0700",51270766,Hashim Barlow,Advertising
Simone,Hubbard,"Thu, 14 Apr 1988 18:03:18 -0700",55774781,Casey Ford,Asset Management
Jemima,Conner,"Sat, 29 Jun 1985 22:37:43 -0700",52517927,Matthew Stark,Customer Service
Paki,Maddox,"Fri, 29 Aug 1980 03:24:11 -0700",93580197,Montana Snyder,Legal Department
Katell,Cantu,"Thu, 04 Dec 1980 20:11:28 -0800",34054134,Abel Washington,Advertising
Paki,Burke,"Fri, 19 Nov 1971 18:58:53 -0800",5912480,Tallulah Coleman,Sales and Marketing
Chase,Goff,"Thu, 28 Dec 1978 03:02:20 -0800",89482461,Donna Ray,Media Relations
Hollee,Oconnor,"Mon, 20 Nov 1978 15:46:53 -0800",10046460,Maryam Kinney,Tech Support
Adrian,Vasquez,"Sun, 03 Feb 1974 05:51:50 -0700",46013198,Martina Kim,Payroll
Keaton,Hobbs,"Tue, 03 Jul 1984 05:15:14 -0700",65383547,Abigail Clayton,Advertising
Jason,Romero,"Mon, 07 Aug 1978 07:09:12 -0700",39031563,Wylie Booker,Advertising
Blaze,Patrick,"Thu, 12 Jun 1986 08:34:08 -0700",23173091,Jordan Christensen,Advertising
Cade,Haney,"Sat, 24 Jan 1970 13:53:15 -0800",27104020,Hadassah Jensen,Human Resources
Maggy,Richard,"Sat, 07 Jun 1980 06:55:55 -0700",42241299,Dominique Mitchell,Legal Department
Leonard,Cunningham,"Mon, 09 Nov 1981 08:36:15 -0800",69005850,Medge Owens,Payroll
Lucas,Mcmahon,"Mon, 12 Aug 1974 02:53:23 -0700",4266288,Kylan Terrell,Asset Management
Whitney,Pace,"Wed, 24 Feb 1982 19:03:16 -0800",89752975,Keelie Rush,Media Relations
Craig,Little,"Tue, 27 Oct 1981 20:55:07 -0800",52307796,Camilla Cline,Advertising
Travis,Brooks,"Sun, 11 Mar 1979 18:08:59 -0800",34025822,Aladdin Barnes,Sales and Marketing
Rogan,Spence,"Mon, 01 Feb 1988 10:31:28 -0800",61290025,Cecilia Bradley,Tech Support
Sebastian,Gilmore,"Tue, 04 Sep 1990 22:24:11 -0700",91777652,Aaron Cantrell,Public Relations
Lani,Bentley,"Thu, 06 Jun 1985 11:38:57 -0700",17620136,Flavia Curtis,Quality Assurance
Indigo,Battle,"Sat, 01 Aug 1987 10:12:41 -0700",80183787,Chaney Houston,Research and Development
Chaim,Frank,"Mon, 01 Jun 1981 17:36:41 -0700",43209148,Jamalia Ford,Human Resources
Jacob,Roberts,"Tue, 18 Oct 1977 23:42:56 -0700",53393293,Cain Norton,Asset Management
Meghan,Benton,"Wed, 07 Sep 1977 07:30:03 -0700",64123199,Virginia Hurst,Legal Department
Holmes,Espinoza,"Tue, 19 Aug 1975 17:41:14 -0700",89082795,Jordan Duke,Public Relations
Colleen,Savage,"Wed, 13 Sep 1989 17:43:48 -0700",26239052,Ella Steele,Accounting
Rafael,Merrill,"Wed, 22 Aug 1984 03:48:44 -0700",65321396,Allistair Hayes,Public Relations
Vance,Bright,"Mon, 11 Jan 1971 20:31:01 -0800",51322673,Reese Mccoy,Human Resources
